longitude,room_type,minimum_nights,calculated_host_listings_count,availability_365,price
0.5965689308370941,0.0,0.002004008016032064,0.0,0.0,55
0.5849257310846383,0.0,0.004008016032064127,0.0,0.5616438356164384,65
0.532453968745159,0.5,0.058116232464929855,0.0,0.0,220
0.5137320129970533,0.5,0.012024048096192383,0.0,0.08493150684931507,499
0.5594344731549086,0.5,0.010020040080160319,0.0,0.19452054794520549,140
0.5520849450719254,0.0,0.004008016032064127,0.0,0.0,60
0.5874593841869,0.0,0.002004008016032064,0.009202453987730062,0.22465753424657534,80
0.5050092836144131,0.5,0.004008016032064127,0.0,0.9397260273972603,600
0.8815178709577651,0.5,0.0,0.006134969325153375,0.9808219178082191,90
0.6120803032647473,0.0,0.038076152304609215,0.0,0.06575342465753425,35
0.5986190623549419,0.0,0.008016032064128256,0.006134969325153375,0.0,35
0.622195574810462,0.0,0.008016032064128256,0.0,0.0,40
0.5023015627417635,0.5,0.002004008016032064,0.0,0.663013698630137,210
0.5655655268451198,0.0,0.0,0.0,0.0,75
0.5169812780442555,0.5,0.11823647294589178,0.003067484662576687,0.08767123287671233,101
0.48899504873898536,0.0,0.002004008016032064,0.0,0.0,70
0.5036360823147277,0.5,0.002004008016032064,0.0,0.5205479452054794,400
0.5702460157821463,0.5,0.004008016032064127,0.0,0.1917808219178082,150
0.5597826086956559,0.5,0.0,0.003067484662576687,0.0,83
0.5692209500232366,0.5,0.002004008016032064,0.0,0.33972602739726027,225
0.49143199752438704,0.5,0.03406813627254508,0.0,0.2684931506849315,169
0.2298661612254591,0.5,0.002004008016032064,0.0,0.6328767123287671,70
0.8283498375367344,0.5,0.0,0.0,0.33972602739726027,200
0.5111016555779031,0.5,0.0060120240480961915,0.0,0.8986301369863013,190
0.536341482283774,0.0,0.0060120240480961915,0.0,0.0,70
0.49547423796997236,0.0,0.0,0.012269938650306749,0.0,86
0.6544948166486222,0.5,0.002004008016032064,0.02147239263803681,0.8767123287671232,185
0.5598019495590165,0.0,0.004008016032064127,0.0,0.0410958904109589,59
0.4635424725359769,0.5,0.038076152304609215,0.0,0.030136986301369864,130
0.5453543246170511,0.0,0.002004008016032064,0.009202453987730062,0.016438356164383564,50
0.49332740213523607,0.0,0.0,0.006134969325153375,1.0,159
0.5808834906390246,0.0,0.08817635270541081,0.006134969325153375,0.0,48
0.5454510289339396,0.0,0.04809619238476953,0.0,0.852054794520548,48
0.4886662540615987,0.5,0.0,0.0,0.20273972602739726,189
0.5429367166950385,0.5,0.0060120240480961915,0.0,0.7205479452054795,335
0.5833397802878153,0.0,0.0,0.0,0.31232876712328766,89
0.8984411264118819,0.0,0.0,0.015337423312883437,0.4849315068493151,60
0.4807945226675088,0.5,0.058116232464929855,0.7085889570552147,0.9342465753424658,314
0.5898963329723017,0.0,0.004008016032064127,0.012269938650306749,1.0,70
0.5045064211666386,0.5,0.1783567134268537,0.02147239263803681,0.0,90
0.5297075661457598,0.5,0.002004008016032064,0.0,0.0821917808219178,450
0.8662772706173598,0.0,0.0060120240480961915,0.02147239263803681,1.0,59
0.5670160915983331,0.5,0.012024048096192383,0.0,0.043835616438356165,200
0.5095737273711904,0.5,0.004008016032064127,0.0,0.0958904109589041,245
0.6911650936097828,0.0,0.004008016032064127,0.003067484662576687,0.12602739726027398,65
